id;kode;nama;jenis_opd_id
1;1;DINAS KESEHATAN;1
2;2;RSUD SEKARWANGI;1
3;3;RSUD PALABUHANRATU;1
4;4;DINAS LINGKUNGAN HIDUP;1
5;5;DINAS SOSIAL;1
6;6;BADAN PENANGGULANGAN BENCANA DAERAH;1
7;7;DINAS TENAGA KERJA DAN TRANSMIGRASI;1
8;8;SATUAN POLISI PAMONG PRAJA;1
9;9;KANTOR KESATUAN BANGSA DAN POLITIK;1
10;10;SEKRETARIAT DPRD;1
11;11;INSPEKTORAT;1
12;12;BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA;1
13;13;DINAS KELAUTAN DAN PERIKANAN;1
14;14;DINAS PETERNAKAN;1
15;15;SEKRETARIAT DAERAH;1
16;16;BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH;1
17;17;DINAS KEARSIPAN DAN PERPUSTAKAAN;1
18;18;DINAS KEBUDAYAAN KEPEMUDAAN DAN OLAH RAGA;1
19;19;BADAN PENDAPATAN DAERAH;1
20;20;BADAN PERENCANAAN PEMBANGUNAN DAERAH;1
21;21;DINAS KETAHANAN PANGAN;1
22;22;DINAS KOMUNIKASI INFORMATIKA DAN PERSANDIAN;1
23;23;DINAS PARIWISATA;1
24;24;DINAS PEKERJAAN UMUM;1
25;25;DINAS PEMADAM KEBAKARAN;1
26;26;DINAS PEMBERDAYAAN MASYARAKAT DAN DESA;1
27;27;DINAS PEMBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK;1
28;28;DINAS PENANAMAN MODAL DAN PERIZINAN TERPADU SATU PINTU;1
29;29;DINAS PENDIDIKAN;1
30;30;DINAS PERDAGANGAN KOPERASI USAHA KECIL DAN MENENGAH;1
31;31;DINAS PERHUBUNGAN;1
32;32;DINAS PERINDUSTRIAN DAN ENERGI SUMBER DAYA MINERAL;1
33;33;DINAS PERTANAHAN DAN TATA RUANG;1
34;34;DINAS PERTANIAN;1
35;35;DINAS PERUMAHAN RAKYAT KAWASAN PERMUKIMAN DAN KEBERSIHAN;1
36;36;DINAS PENGENDALIAN PENDUDUK DAN KELUARGA BERENCANA;1
37;37;DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL;1
38;3202221;CIAMBAR;2
39;3202200;CISAAT;2
40;3202220;NAGRAK;2
41;3202240;CIDAHU;2
42;3202260;PARUNG KUDA;2
43;3202050;KALI BUNDER;2
44;3202060;TEGAL BULEUD;2
45;3202230;CICURUG;2
46;3202081;CIDADAP;2
47;3202130;JAMPANG TENGAH;2
48;3202121;BANTARGADUNG;2
49;3202120;WARUNG KIARA;2
50;3202090;PABUARAN;2
51;3202031;CIBITUNG;2
52;3202210;CIBADAK;2
53;3202172;CIREUNGHAS;2
54;3202261;BOJONG GENTENG;2
55;3202140;CIKEMBAR;2
56;3202040;JAMPANG KULON;2
57;3202082;CURUGKEMBAR;2
58;3202250;PARAKAN SALAK;2
59;3202150;NYALINDUNG;2
60;3202171;KEBONPEDES;2
61;3202041;CIMANGGU;2
62;3202280;CIKIDANG;2
63;3202030;SURADE;2
64;3202110;PALABUHANRATU;2
65;3202160;GEGER BITUNG;2
66;3202290;CISOLOK;2
67;3202212;CARINGIN;2
68;3202021;WALURAN;2
69;3202300;KABANDUNGAN;2
70;3202080;SAGARANTEN;2
71;3202010;CIEMAS;2
72;3202201;GUNUNGGURUH;2
73;3202111;SIMPENAN;2
74;3202211;CICANTAYAN;2
75;3202131;PURABAYA;2
76;3202070;CIDOLOG;2
77;3202190;KADUDAMPIT;2
78;3202291;CIKAKAK;2
79;3202020;CIRACAP;2
80;3202100;LENGKONG;2
81;3202173;SUKALARANG;2
82;3202170;SUKARAJA;2
83;3202270;KALAPA NUNGGAL;2
84;3202180;SUKABUMI;2
85;3202210011;CIBADAK;3
86;3202230009;CICURUG;3
87;3202040006;JAMPANG KULON;3
88;3202250005;LEBAKSARI;3
89;3202110006;PALABUHANRATU;3
90;3202030013;SURADE;3
91;3202221006;AMBARJAYA;4
92;3202200009;BABAKAN;4
93;3202220008;BABAKAN PANJANG;4
94;3202240004;BABAKAN PARI;4
95;3202260012;BABAKANJAYA;4
96;3202050006;BALEKAMBANG;4
97;3202220002;BALEKAMBANG;4
98;3202060007;BANGBAYANG;4
99;3202230005;BANGBAYANG;4
100;3202081004;BANJARSARI;4
101;3202130013;BANTAR AGUNG;4
102;3202121003;BANTARGADUNG;4
103;3202121001;BANTARGEBANG;4
104;3202120003;BANTARKALONG;4
105;3202130001;BANTARPANJANG;4
106;3202090006;BANTARSARI;4
107;3202031005;BANYUMURNI;4
108;3202031003;BANYUWANGI;4
109;3202210009;BATUNUNGGAL;4
110;3202172003;BENCOY;4
111;3202230012;BENDA;4
112;3202261001;BEREKAH;4
113;3202050005;BOJONG;4
114;3202140005;BOJONG;4
115;3202261003;BOJONG GALING;4
116;3202040002;BOJONG GENTENG;4
117;3202261002;BOJONG GENTENG;4
118;3202130012;BOJONG JENGKOL;4
119;3202260009;BOJONG KOKOSAN;4
120;3202082006;BOJONG TUGU;4
121;3202250004;BOJONGASIH;4
122;3202121002;BOJONGGALING;4
123;3202150005;BOJONGKALONG;4
124;3202140006;BOJONGKEMBAR;4
125;3202120005;BOJONGKERTA;4
126;3202250003;BOJONGLONGOK;4
127;3202140010;BOJONGRAHARJA;4
128;3202040003;BOJONGSARI;4
129;3202150006;BOJONGSARI;4
130;3202171005;BOJONGSAWAH;4
131;3202130009;BOJONGTIPAR;4
132;3202041001;BOREGAH INDAH;4
133;3202121007;BOYONGSARI;4
134;3202121006;BUANAJAYA;4
135;3202280009;BUMISARI;4
136;3202060002;BUNIASIH;4
137;3202030002;BUNIWANGI;4
138;3202110009;BUNIWANGI;4
139;3202160006;BUNIWANGI;4
140;3202060004;CALINGCING;4
141;3202160007;CARINGIN;4
142;3202230004;CARINGIN;4
143;3202290017;CARINGIN;4
144;3202212004;CARINGIN KULON;4
145;3202021001;CARINGIN NUNGGAL;4
146;3202212005;CARINGIN WETAN;4
147;3202221002;CIAMBAR;4
148;3202300006;CIANAGA;4
149;3202090004;CIBADAK;4
150;3202080018;CIBAREGBEG;4
151;3202140002;CIBATU;4
152;3202200013;CIBATU;4
153;3202010001;CIBENDA;4
154;3202201005;CIBENTANG;4
155;3202031002;CIBITUNG;4
156;3202080012;CIBITUNG;4
157;3202031004;CIBODAS;4
158;3202110008;CIBODAS;4
159;3202261004;CIBODAS;4
160;3202201006;CIBOLANG;4
161;3202200014;CIBOLANG KALER;4
162;3202221005;CIBUNARJAYA;4
163;3202111005;CIBUNTU;4
164;3202290013;CICADAS;4
165;3202211002;CICANTAYAN;4
166;3202280010;CICAREUH;4
167;3202131002;CICUKANG;4
168;3202081002;CIDADAP;4
169;3202111004;CIDADAP;4
170;3202031001;CIDAHU;4
171;3202240007;CIDAHU;4
172;3202070001;CIDOLOG;4
173;3202010005;CIEMAS;4
174;3202160001;CIENGANG;4
175;3202300005;CIHAMERANG;4
176;3202220010;CIHANYAWAR;4
177;3202111001;CIHAUR;4
178;3202210015;CIHEULANG TONGGOH;4
179;3202211005;CIJALINGAN;4
180;3202280002;CIJAMBE;4
181;3202150010;CIJANGKAR;4
182;3202212001;CIJENGKOL;4
183;3202130010;CIJULANG;4
184;3202160004;CIJUREY;4
185;3202110010;CIKADU;4
186;3202190003;CIKAHURIPAN;4
187;3202290002;CIKAHURIPAN;4
188;3202291002;CIKAKAK;4
189;3202020002;CIKANGKUNG;4
190;3202280012;CIKARAE THOYIBAH;4
191;3202040013;CIKARANG;4
192;3202070003;CIKARANG;4
193;3202040015;CIKARANGGEUSAN;4
194;3202171003;CIKARET;4
195;3202290014;CIKELAT;4
196;3202212008;CIKEMBANG;4
197;3202140007;CIKEMBAR;4
198;3202280005;CIKIDANG;4
199;3202280003;CIKIRAY;4
200;3202201004;CIKUJANG;4
201;3202172004;CIKURUTUG;4
202;3202100002;CILANGKAP;4
203;3202291004;CILEUNGSING;4
204;3202211003;CIMAHI;4
205;3202050001;CIMAHPAR;4
206;3202291001;CIMAJA;4
207;3202211008;CIMANGGIS;4
208;3202041002;CIMANGGU;4
209;3202110014;CIMANGGU;4
210;3202140008;CIMANGGU;4
211;3202173004;CIMANGKOK;4
212;3202082001;CIMENTENG;4
213;3202131007;CIMERANG;4
214;3202070004;CIPAMINGKIS;4
215;3202261005;CIPANENGAH;4
216;3202040001;CIPARAY;4
217;3202190008;CIPETIR;4
218;3202030003;CIPEUNDEUY;4
219;3202300004;CIPEUTEUY;4
220;3202172001;CIPURUT;4
221;3202020004;CIRACAP;4
222;3202291009;CIRENDANG;4
223;3202172002;CIREUNGHAS;4
224;3202200008;CISAAT;4
225;3202230006;CISAAT;4
226;3202211004;CISANDE;4
227;3202170015;CISARUA;4
228;3202220001;CISARUA;4
229;3202150001;CISITU;4
230;3202290003;CISOLOK;4
231;3202131006;CITAMIANG;4
232;3202190002;CITAMIANG;4
233;3202030011;CITANGLAR;4
234;3202110005;CITARIK;4
235;3202110007;CITEPUS;4
236;3202090002;CIWALAT;4
237;3202010002;CIWARU;4
238;3202082002;CURUGKEMBAR;4
239;3202080008;CURUGLUHUR;4
240;3202120011;DAMARRAJA;4
241;3202220006;DARMAREJA;4
242;3202080009;DATARNANGKA;4
243;3202291008;GANDASOLI;4
244;3202190006;GEDE PANGRANGO;4
245;3202160003;GEGERBITUNG;4
246;3202221003;GINANJAR;4
247;3202120007;GIRIJAYA;4
